"CCMM","AMA"
15245.1319068309,15245.1178024213
29304.3921487466,29304.3652759697
45068.4135067992,45068.372753492
51876.6542563139,51876.6099337102
74108.1874744443,74108.1224974576
83914.9460683988,83914.8753707958
88369.0729025668,88368.9941550724
106070.082314333,106069.989792813
119806.432956817,119806.329030816
136875.194482432,136875.079296746
154044.872869013,154044.742648247
151336.49279165,151336.371521369
177327.936523745,177327.789697653
171688.316389761,171688.179243163
184607.938289519,184607.781951715
195429.290287922,195429.130418999
223505.670531716,223505.489300377
219463.445623627,219463.256567364
232386.010872088,232385.818211523
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
