"CCMM","SSNAL"
15245.2171608276,15245.2110179813
29304.5084509454,29304.4910717874
45068.5451414116,45068.5265338913
51876.8178260483,51876.8045333755
74108.3656987544,74108.3288013068
83915.1721998291,83915.1256083241
88369.3275331361,88369.2853389724
106070.344065682,106070.304612418
119806.728313984,119806.676482036
136875.521428528,136875.459524243
154045.243420077,154045.142778239
151336.905984708,151336.821373177
177328.364821195,177328.262282662
171688.807505859,171688.699596823
184608.38164273,184608.334902579
195429.809544904,195429.7238281
223506.196384911,223506.095069915
219463.99679178,219463.920731149
232386.613907591,232386.505910657
266021.71547684,266021.559341759
249103.622089605,249103.481353949
275570.870139809,275570.781779288
285764.388754568,285764.278477744
300485.20117919,300485.056766851
305900.54513792,305900.428759656
322885.194891056,322885.012952782
318715.060274863,318714.95587995
355510.354312893,355510.177101298
334931.146716125,334931.089434571
369397.661884691,369397.485633953
370469.725796442,370469.515473942
381448.396295702,381448.209891233
391946.953402167,391946.807363782
376927.152067692,376926.977261486
375870.769263785,375870.577303516
406104.853334606,406104.648560622
420062.319317499,420062.161096261
446431.256117977,446431.094095284
474101.020535015,474100.779758721
460629.451317581,460629.246714104
